model,internal_accuracy,external_accuracy,accuracy_drop,internal_macro_precision,external_macro_precision,internal_macro_recall,external_macro_recall,internal_macro_f1,external_macro_f1,macro_f1_drop,internal_seconds_per_document,external_seconds_per_document
ResNet50,0.8933333333333333,0.28,0.6133333333333333,0.8954205069124426,0.15714285714285714,0.8933333333333333,0.27999999999999997,0.8936815040390963,0.19330143540669856,0.7003800686323978,0.001974986000004719,0.040217991998943034
XLM-RoBERTa,0.9933333333333333,0.76,0.23333333333333328,0.9935483870967742,0.6666666666666667,0.9933333333333334,0.76,0.9933314809669354,0.692929292929293,0.3004021880376424,0.012249054666705585,0.024048747999186163
LayoutLMv3,1.0,0.56,0.43999999999999995,1.0,0.39090909090909093,1.0,0.5599999999999999,1.0,0.43611111111111106,0.5638888888888889,0.052578116666748734,0.058775020001048686
